Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2002,May,F,20-24,14
2002,May,F,25-29,11
2002,May,F,30-34,14
2002,May,F,35-39,4
2002,May,F,40-44,8
2002,May,F,45-49,8
2002,May,F,50-54,3
2002,May,F,55-59,5
2002,May,F,60-64,3
2002,May,F,65-69,0
2002,May,F,70-74,1
2002,May,F,75+,0
2002,May,F,Total,147
2002,May,T,0-4,50
2002,May,T,9-May,33
2002,May,T,14-Oct,33
2002,May,T,15-19,38
2002,May,T,20-24,35
2002,May,T,25-29,27
2002,May,T,30-34,27
2002,May,T,35-39,12
2002,May,T,40-44,14
2002,May,T,45-49,13
2002,May,T,50-54,7
2002,May,T,55-59,10
2002,May,T,60-64,6
2002,May,T,65-69,3
2002,May,T,70-74,1
2002,May,T,75+,0
2002,May,T,Total,309
2002,June,M,0-4,14
2002,June,M,9-May,10
2002,June,M,14-Oct,10
2002,June,M,15-19,15
2002,June,M,20-24,13
2002,June,M,25-29,9
2002,June,M,30-34,12
2002,June,M,35-39,9
2002,June,M,40-44,4
2002,June,M,45-49,3
2002,June,M,50-54,2
2002,June,M,55-59,1
2002,June,M,60-64,1
2002,June,M,65-69,1
2002,June,M,70-74,0
2002,June,M,75+,0
2002,June,M,Total,104
2002,June,F,0-4,12
2002,June,F,9-May,14
2002,June,F,14-Oct,16
2002,June,F,15-19,15
2002,June,F,20-24,10
2002,June,F,25-29,8
2002,June,F,30-34,4
2002,June,F,35-39,7
2002,June,F,40-44,8
2002,June,F,45-49,6
2002,June,F,50-54,5
2002,June,F,55-59,4
2002,June,F,60-64,0
2002,June,F,65-69,0
2002,June,F,70-74,0
2002,June,F,75+,0
2002,June,F,Total,109
2002,June,T,0-4,26
2002,June,T,9-May,24
2002,June,T,14-Oct,26
2002,June,T,15-19,30
2002,June,T,20-24,23
2002,June,T,25-29,17
2002,June,T,30-34,16
2002,June,T,35-39,16
2002,June,T,40-44,12
2002,June,T,45-49,9
2002,June,T,50-54,7
2002,June,T,55-59,5
2002,June,T,60-64,1
2002,June,T,65-69,1
2002,June,T,70-74,0
2002,June,T,75+,0
2002,June,T,Total,213
2002,July,M,0-4,12
2002,July,M,9-May,13
2002,July,M,14-Oct,10
2002,July,M,15-19,12
2002,July,M,20-24,13
2002,July,M,25-29,8
2002,July,M,30-34,10
2002,July,M,35-39,5
2002,July,M,40-44,1
2002,July,M,45-49,3
